"","GEOID","h_county","commuters"
"489",11001010100,23011,1
"490",24031701205,23011,2
"491",11001010100,23015,1
"492",24510260501,23023,1
"493",24003740304,23027,1
"494",11001010100,23031,10
"495",24031701205,23031,2
"496",11001010100,24001,4
"497",24003701104,24001,1
"498",24003702402,24001,19
"499",24003730401,24001,9
"500",24003740205,24001,3
"501",24003740304,24001,13
"502",24003741000,24001,5
"503",24005408704,24001,2
"504",24005440600,24001,21
"505",24013507602,24001,29
"506",24013513001,24001,10
"507",24017851502,24001,8
"508",24021750701,24001,13
"509",24021752206,24001,1
"510",24025301707,24001,6
"511",24027605105,24001,6
"512",24027605404,24001,12
"513",24027605602,24001,1
"514",24027606701,24001,2
"515",24027606706,24001,6
"516",24031700313,24001,13
"517",24031701002,24001,1
"518",24031701007,24001,5
"519",24031701205,24001,6
"520",24031702503,24001,4
"521",24031704600,24001,20
"522",24031704804,24001,17
"523",24031705602,24001,2
"524",24033800212,24001,2
"525",24033800504,24001,5
"526",24033801003,24001,1
"527",24035810800,24001,6
"528",24043011202,24001,7
"529",24510060400,24001,5
"530",24510120700,24001,2
"531",24510260501,24001,3
"532",24510260605,24001,33
"533",11001000904,24003,29
"534",11001010100,24003,1048
"535",24003701104,24003,902
"536",24003702402,24003,13015
"537",24003730401,24003,601
"538",24003740205,24003,552
"539",24003740304,24003,1375
"540",24003741000,24003,1084
"541",24005408704,24003,98
"542",24005421000,24003,34
"543",24005440600,24003,557
"544",24013507602,24003,211
"545",24013513001,24003,86
"546",24017851502,24003,42
"547",24021750701,24003,78
"548",24021752206,24003,39
"549",24025301707,24003,69
"550",24027605105,24003,1270
"551",24027605404,24003,1027
"552",24027605602,24003,517
"553",24027606601,24003,58
"554",24027606701,24003,172
"555",24027606706,24003,577
"556",24031700313,24003,196
"557",24031701002,24003,50
"558",24031701007,24003,300
"559",24031701205,24003,560
"560",24031702503,24003,274
"561",24031704600,24003,72
"562",24031704804,24003,533
"563",24031705602,24003,29
"564",24033800212,24003,457
"565",24033800504,24003,568
"566",24033801003,24003,137
"567",24035810800,24003,420
"568",24043011202,24003,22
"569",24510060400,24003,835
"570",24510100100,24003,25
"571",24510120700,24003,242
"572",24510260501,24003,610
"573",24510260605,24003,1502
"574",51013101408,24003,25
"575",51059470600,24003,1
"576",11001000904,24005,14
"577",11001010100,24005,354
"578",24003701104,24005,101
"579",24003702402,24005,1294
"580",24003730401,24005,149
"581",24003740205,24005,212
"582",24003740304,24005,310
"583",24003741000,24005,369
"584",24005408704,24005,1352
"585",24005421000,24005,104
"586",24005440600,24005,3580
"587",24013507602,24005,799
"588",24013513001,24005,129
"589",24017851502,24005,30
"590",24021750701,24005,101
"591",24021752206,24005,40
"592",24025301707,24005,297
"593",24027605105,24005,1104
"594",24027605404,24005,1420
"595",24027605602,24005,815
"596",24027606601,24005,88
"597",24027606701,24005,259
"598",24027606706,24005,771
"599",24031700313,24005,328
"600",24031701002,24005,48
"601",24031701007,24005,391
"602",24031701205,24005,421
"603",24031702503,24005,277
"604",24031704600,24005,127
"605",24031704804,24005,467
"606",24031705602,24005,33
"607",24033800212,24005,188
"608",24033800504,24005,84
"609",24033801003,24005,133
"610",24035810800,24005,73
"611",24043011202,24005,36
"612",24510060400,24005,4630
"613",24510100100,24005,96
"614",24510120700,24005,1554
"615",24510260501,24005,3139
"616",24510260605,24005,6615
"617",51013101408,24005,5
"618",51059470600,24005,4
"619",11001000904,24009,4
"620",11001010100,24009,141
"621",24003701104,24009,42
"622",24003702402,24009,279
"623",24003730401,24009,1
"624",24003740205,24009,5
"625",24003740304,24009,28
"626",24003741000,24009,16
"627",24005408704,24009,1
"628",24005440600,24009,28
"629",24013507602,24009,17
"630",24013513001,24009,8
"631",24017851502,24009,52
"632",24021750701,24009,10
"633",24021752206,24009,16
"634",24025301707,24009,21
"635",24027605105,24009,39
"636",24027605404,24009,31
"637",24027605602,24009,5
"638",24027606701,24009,5
"639",24027606706,24009,34
"640",24031700313,24009,26
"641",24031701002,24009,3
"642",24031701007,24009,39
"643",24031701205,24009,101
"644",24031702503,24009,39
"645",24031704600,24009,19
"646",24031704804,24009,45
"647",24031705602,24009,4
"648",24033800212,24009,29
"649",24033800504,24009,140
