"","GEOID","h_county","commuters"
"758",6037702300,6037,5796
"759",6037702802,6037,748
"760",6037702900,6037,4558
"761",6037703003,6037,40257
"762",6037800324,6037,1919
"763",6037800325,6037,638
"764",6037800337,6037,3327
"765",6037800504,6037,2334
"766",6037920328,6037,2982
"767",6037920330,6037,3982
"768",6037980013,6037,36090
"769",6059052513,6037,205
"770",6059062647,6037,597
"771",6059099232,6037,593
"772",6079011505,6037,198
"773",6079012505,6037,23
"774",6083000302,6037,108
"775",6083000400,6037,120
"776",6083001404,6037,122
"777",6083002211,6037,164
"778",6083003001,6037,519
"779",6111001510,6037,600
"780",6111005906,6037,2226
"781",6111005907,6037,1162
"782",6111006600,6037,555
"783",6111007000,6037,1027
"784",6111008501,6037,369
"785",6111008502,6037,1519
"786",6037120300,6039,5
"787",6037135116,6039,7
"788",6037207711,6039,14
"789",6037212303,6039,1
"790",6037216302,6039,3
"791",6037224010,6039,1
"792",6037265204,6039,2
"793",6037265301,6039,6
"794",6037267700,6039,5
"795",6037311601,6039,2
"796",6037463900,6039,1
"797",6037651101,6039,9
"798",6037700801,6039,9
"799",6037700802,6039,1
"800",6037701701,6039,1
"801",6037702300,6039,1
"802",6037800324,6039,3
"803",6037920328,6039,4
"804",6037980013,6039,11
"805",6079011505,6039,20
"806",6083003001,6039,55
"807",6111001510,6039,1
"808",6111007000,6039,2
"809",6111008501,6039,2
"810",6111008502,6039,2
"811",6037141400,6041,7
"812",6037207305,6041,4
"813",6037207711,6041,66
"814",6037214000,6041,1
"815",6037224020,6041,5
"816",6037265204,6041,7
"817",6037265301,6041,6
"818",6037267300,6041,1
"819",6037267901,6041,76
"820",6037269000,6041,2
"821",6037275313,6041,5
"822",6037311601,6041,24
"823",6037311602,6041,1
"824",6037620303,6041,2
"825",6037620400,6041,10
"826",6037670417,6041,2
"827",6037700801,6041,16
"828",6037700802,6041,4
"829",6037701501,6041,1
"830",6037701502,6041,2
"831",6037701601,6041,3
"832",6037701802,6041,2
"833",6037702300,6041,7
"834",6037702900,6041,9
"835",6037800337,6041,10
"836",6037800504,6041,3
"837",6037980013,6041,51
"838",6079011505,6041,3
"839",6083000302,6041,5
"840",6083000400,6041,4
"841",6083001404,6041,1
"842",6083002211,6041,1
"843",6083003001,6041,5
"844",6111005906,6041,2
"845",6111005907,6041,3
"846",6111008501,6041,1
"847",6037135116,6043,1
"848",6037207711,6043,2
"849",6037216302,6043,1
"850",6037265301,6043,1
"851",6037651101,6043,1
"852",6037800337,6043,2
"853",6037980013,6043,1
"854",6079011505,6043,2
"855",6079012505,6043,3
"856",6083001404,6043,1
"857",6083003001,6043,2
"858",6037207711,6045,5
"859",6037224010,6045,1
"860",6037224020,6045,3
"861",6037267700,6045,1
"862",6037267901,6045,1
"863",6037311601,6045,2
"864",6037311602,6045,1
"865",6037703003,6045,24
"866",6037800337,6045,1
"867",6037800504,6045,3
"868",6037920330,6045,1
"869",6037980013,6045,3
"870",6083000400,6045,2
"871",6083002211,6045,1
"872",6083003001,6045,3
"873",6111001510,6045,2
"874",6111005906,6045,1
"875",6111007000,6045,1
"876",6037120300,6047,6
"877",6037135116,6047,8
"878",6037207305,6047,2
"879",6037207711,6047,13
"880",6037216302,6047,2
"881",6037224010,6047,4
"882",6037224020,6047,2
"883",6037264305,6047,1
"884",6037265204,6047,1
"885",6037265301,6047,9
"886",6037267700,6047,9
"887",6037311601,6047,3
"888",6037311602,6047,1
"889",6037463900,6047,2
"890",6037620303,6047,1
"891",6037620400,6047,1
"892",6037651101,6047,6
"893",6037700801,6047,7
"894",6037701602,6047,3
"895",6037701701,6047,3
"896",6037702300,6047,2
"897",6037703003,6047,4
"898",6037800324,6047,1
"899",6037800337,6047,2
"900",6037980013,6047,29
"901",6059052513,6047,1
"902",6079011505,6047,27
"903",6079012505,6047,2
"904",6083001404,6047,1
"905",6083002211,6047,10
"906",6083003001,6047,46
"907",6111001510,6047,4
"908",6111005906,6047,1
"909",6111005907,6047,3
"910",6111007000,6047,2
"911",6111008502,6047,4
"912",6037703003,6049,3
"913",6037207711,6051,2
"914",6037267700,6051,1
"915",6037651101,6051,1
"916",6037700801,6051,1
"917",6037980013,6051,2
"918",6079012505,6051,1
"919",6083000302,6051,1
"920",6111001510,6051,1
"921",6037119202,6053,2
"922",6037120300,6053,2
"923",6037135116,6053,6
"924",6037141400,6053,1
"925",6037191810,6053,2
"926",6037207305,6053,2
"927",6037216302,6053,9
"928",6037224010,6053,6
"929",6037224020,6053,6
"930",6037265204,6053,1
"931",6037265301,6053,4
"932",6037275313,6053,4
"933",6037431701,6053,1
"934",6037464000,6053,1
"935",6037620400,6053,5
"936",6037651101,6053,11
"937",6037700801,6053,33
"938",6037700802,6053,8
"939",6037701000,6053,3
"940",6037701502,6053,4
"941",6037701601,6053,2
"942",6037701602,6053,2
"943",6037702300,6053,8
"944",6037702802,6053,1
"945",6037702900,6053,9
"946",6037800324,6053,4
"947",6037800325,6053,5
"948",6037800337,6053,6
"949",6079011505,6053,86
"950",6079012505,6053,34
"951",6083000302,6053,18
"952",6083000400,6053,2
"953",6083001404,6053,2
"954",6083002211,6053,16
"955",6083003001,6053,14
"956",6111005906,6053,1
"957",6111006600,6053,2
"958",6111007000,6053,6
"959",6111008501,6053,1
"960",6111008502,6053,2
"961",6037120300,6055,3
"962",6037134422,6055,1
"963",6037135116,6055,5
"964",6037207711,6055,16
"965",6037214000,6055,1
"966",6037216302,6055,7
"967",6037224010,6055,5
"968",6037224020,6055,5
"969",6037267700,6055,4
"970",6037267901,6055,21
"971",6037311601,6055,8
"972",6037311602,6055,1
"973",6037463900,6055,1
"974",6037464000,6055,1
"975",6037481606,6055,1
"976",6037650606,6055,1
"977",6037700801,6055,8
"978",6037700802,6055,3
"979",6037701000,6055,7
"980",6037701501,6055,1
"981",6037702900,6055,2
"982",6037800325,6055,1
"983",6037800337,6055,6
"984",6037800504,6055,1
"985",6037920328,6055,7
"986",6037920330,6055,2
"987",6037980013,6055,9
"988",6059062647,6055,2
"989",6059099232,6055,1
"990",6083000302,6055,2
"991",6083000400,6055,2
"992",6083001404,6055,3
"993",6083002211,6055,1
"994",6083003001,6055,3
"995",6111005906,6055,2
"996",6111005907,6055,1
"997",6111007000,6055,1
"998",6037135116,6057,4
"999",6037224020,6057,2
"1000",6037267700,6057,2
"1001",6037275313,6057,2
"1002",6037311601,6057,2
"1003",6037650606,6057,1
"1004",6037651101,6057,2
"1005",6037700801,6057,3
"1006",6037701602,6057,1
"1007",6037800324,6057,5
"1008",6037800325,6057,1
"1009",6037980013,6057,5
"1010",6059062647,6057,1
"1011",6079011505,6057,2
"1012",6083003001,6057,1
"1013",6111001510,6057,1
"1014",6111007000,6057,3
"1015",6111008502,6057,1
"1016",6037108202,6059,8
"1017",6037108204,6059,120
"1018",6037119202,6059,11
"1019",6037120300,6059,115
"1020",6037134422,6059,17
"1021",6037135116,6059,539
"1022",6037141400,6059,292
"1023",6037143200,6059,19
"1024",6037191810,6059,37
"1025",6037207305,6059,326
