"","FIPS","county","gdp_2024"
"297"," 08081","Moffat, CO",920077
"298"," 08083","Montezuma, CO",1188499
"299"," 08085","Montrose, CO",1849394
"300"," 08087","Morgan, CO",1598419
"301"," 08089","Otero, CO",568314
"302"," 08091","Ouray, CO",226866
"303"," 08093","Park, CO",532097
"304"," 08095","Phillips, CO",193493
"305"," 08097","Pitkin, CO",2935059
"306"," 08099","Prowers, CO",479594
"307"," 08101","Pueblo, CO",6868520
"308"," 08103","Rio Blanco, CO",566322
"309"," 08105","Rio Grande, CO",429941
"310"," 08107","Routt, CO",2257117
"311"," 08109","Saguache, CO",162612
"312"," 08111","San Juan, CO",43954
"313"," 08113","San Miguel, CO",819644
"314"," 08115","Sedgwick, CO",74155
"315"," 08117","Summit, CO",3302135
"316"," 08119","Teller, CO",970330
"317"," 08121","Washington, CO",142413
"318"," 08123","Weld, CO*",24480489
"319"," 08125","Yuma, CO",461760
"320"," 09000","Connecticut",286160067
"321"," 09001","Fairfield, CT*",NA
"322"," 09003","Hartford, CT*",NA
"323"," 09005","Litchfield, CT*",NA
"324"," 09007","Middlesex, CT*",NA
"325"," 09009","New Haven, CT*",NA
"326"," 09011","New London, CT*",NA
"327"," 09013","Tolland, CT*",NA
"328"," 09015","Windham, CT*",NA
"329"," 09110","Capitol, CT*",88946536
"330"," 09120","Greater Bridgeport, CT*",27209614
"331"," 09130","Lower Connecticut River Valley, CT*",12908053
"332"," 09140","Naugatuck Valley, CT*",26812846
"333"," 09150","Northeastern Connecticut, CT*",4355057
"334"," 09160","Northwest Hills, CT*",5184662
"335"," 09170","South Central Connecticut, CT*",40204020
"336"," 09180","Southeastern Connecticut, CT*",19316257
"337"," 09190","Western Connecticut, CT*",61223022
"338"," 10000","Delaware",85350534
"339"," 10001","Kent, DE",9069233
"340"," 10003","New Castle, DE",58412908
"341"," 10005","Sussex, DE",17867776
"342"," 11000","District of Columbia",145087985
"343"," 11001","District of Columbia, DC",145087985
"344"," 12000","Florida",1352275106
"345"," 12001","Alachua, FL",16456777
"346"," 12003","Baker, FL",801544
"347"," 12005","Bay, FL",10440780
"348"," 12007","Bradford, FL",729440
"349"," 12009","Brevard, FL",35095914
"350"," 12011","Broward, FL",136649542
"351"," 12013","Calhoun, FL",384202
"352"," 12015","Charlotte, FL",7566912
"353"," 12017","Citrus, FL",5395130
"354"," 12019","Clay, FL",7086382
"355"," 12021","Collier, FL",27820258
"356"," 12023","Columbia, FL",2699486
"357"," 12027","DeSoto, FL",1100173
"358"," 12029","Dixie, FL",316390
"359"," 12031","Duval, FL",83517200
"360"," 12033","Escambia, FL",18897020
"361"," 12035","Flagler, FL",3990529
"362"," 12037","Franklin, FL",389751
"363"," 12039","Gadsden, FL",1275717
"364"," 12041","Gilchrist, FL",443407
"365"," 12043","Glades, FL",352968
"366"," 12045","Gulf, FL",506457
"367"," 12047","Hamilton, FL",641948
"368"," 12049","Hardee, FL",1160182
"369"," 12051","Hendry, FL",1455171
"370"," 12053","Hernando, FL",5659680
"371"," 12055","Highlands, FL",2980473
"372"," 12057","Hillsborough, FL",121004917
"373"," 12059","Holmes, FL",437047
"374"," 12061","Indian River, FL",8020666
"375"," 12063","Jackson, FL",1529487
"376"," 12065","Jefferson, FL",340534
"377"," 12067","Lafayette, FL",241798
"378"," 12069","Lake, FL",13812535
"379"," 12071","Lee, FL",41934562
"380"," 12073","Leon, FL",18790318
"381"," 12075","Levy, FL",1272209
"382"," 12077","Liberty, FL",369651
"383"," 12079","Madison, FL",592906
"384"," 12081","Manatee, FL",20417218
"385"," 12083","Marion, FL",13570815
"386"," 12085","Martin, FL",9555927
"387"," 12086","Miami-Dade, FL",203059107
"388"," 12087","Monroe, FL",6402345
"389"," 12089","Nassau, FL",3800560
