"","FIPS","GEOID"
"678","12085","1221"
"679","25021","2507"
"680","51700","5103"
"681","51660","5106"
"682","06037","0627"
"683","33005","3302"
"684","39083","3912"
"685","55127","5501"
"686","42075","4209"
"687","48245","4814"
"688","22033","2206"
"689","40143",NA
"690","40027",NA
"691","41051","4105"
"692","16069","1601"
"693","12011","1223"
"694","09150","0902"
"695","30029","3001"
"696","53055","5302"
"697","42069","4208"
"698","26149","2605"
"699","25023","2508"
"700","36077","3619"
"701","36065","3622"
"702","48085","4804"
"703","48453","4810"
"704","26125","2606"
"705","51051","5109"
"706","06067","0606"
"707","48485","4813"
"708","28049",NA
"709","46041","4600"
"710","29051","2903"
"711","30111","3002"
"712","30093","3001"
"713","21205","2105"
"714","09130","0901"
"715","54091","5402"
"716","25015","2501"
"717","21035","2101"
"718","28089","2803"
"719","36097","3623"
"720","37025","3706"
"721","48453","4835"
"722","26163","2612"
"723","36047","3611"
"724","51800","5102"
"725","06037","0638"
"726","31109",NA
"727","35047","3503"
"728","35053","3502"
"729","36081","3614"
"730","17037","1714"
"731","50023","5000"
"732","18085","1803"
"733","05119",NA
"734","53011","5303"
"735","39093","3905"
"736","39129","3902"
"737","17097","1709"
"738","48439","4824"
"739","05019","0504"
"740","19163","1901"
"741","18003","1803"
"742","09190","0905"
"743","20045",NA
"744","20037",NA
"745","36019","3621"
"746","48473","4810"
"747","39169","3907"
"748","33011","3301"
"749","39061","3908"
"750","12103","1213"
"751","48209","4821"
"752","39023","3910"
"753","17167","1715"
"754","34025","3406"
"755","34001","3402"
"756","06085","0619"
"757","34015","3401"
"758","30047","3001"
"759","48471","4817"
"760","50013","5000"
"761","13051","1301"
"762","72117","7298"
"763","31055",NA
"764","04023","0407"
"765","08037","0802"
"766","36083","3619"
"767","19049","1903"
"768","12105","1218"
"769","36021","3619"
"770","47141","4706"
"771","48479","4828"
"772","48355",NA
"773","28089","2802"
"774","37003","3705"
"775","40109",NA
"776","01001","0106"
"777","17137",NA
"778","28059","2804"
"779","72041","7298"
"780","72063","7298"
"781","02110","0200"
"782","24039","2401"
"783","26049","2608"
"784","31019","3103"
"785","37155","3708"
"786","08123","0808"
"787","72035","7298"
"788","72005","7298"
"789","72069","7298"
"790","72097","7298"
"791","47065","4703"
"792","47051","4704"
"793","48135","4811"
"794","06077","0609"
"795","78030","7898"
"796","55035","5503"
"797","55063","5503"
"798","18127","1801"
"799","22017","2204"
"800","15003","1502"
"801","08013",NA
"802","54069","5402"
"803","37099","3711"
"804","17043","1703"
"805","53071","5305"
"806","09130","0902"
"807","41047",NA
"808","29047","2906"
"809","49053","4902"
"810","02050","0200"
"811","45015","4501"
"812","42101","4205"
