"FIPS","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","terminated_econ_loss"
"42091",627364.4,1511645.66425623,5.58354316,4973336,11983341.4221295,0,0,0,0,0,0,NA
"42093",1850935.4,4459861.72028308,16.47332506,9545081,22999042.1972055,0,0,0,0,0,0,NA
"42095",1387866.95,3344090.06556957,12.352015855,7076816,17051713.8414916,0,0,0,0,0,0,NA
"42101",229929496,554019204.330082,2046.3725144,1230689136,2965739826.75591,2087840.45,5030688.64586717,18.581780005,0,0,0,109197522.918576
"42119",63256.05,152416.575949281,0.562978845,604231,1455905.32608992,0,0,0,0,0,0,NA
"44003",0,0,0,650609,1333894.56472029,0,0,0,0,0,0,NA
"44005",321299.85,789303.048367502,3.2129985,2187147,5215313.99850289,0,0,0,0,0,0,NA
"44007",35759877.35,73315779.5730298,275.351055595,223322806,457861906.46223,3759749.1,7708330.02494896,28.95006807,0,0,0,770969714.463316
"44009",2158418.65,4425242.97331564,16.619823605,26478286,54286432.8321764,36425.55,74680.5580032666,0.280476735,0,0,0,4145.01926162924
"45003",28749,83133.0995203837,0.3133641,172499,498813.055555556,0,0,0,0,0,0,NA
"45019",21662313.65,62494638.4281575,235.568939915,138934047,400936211.626699,134058.95,387656.476119105,1.461242555,0,0,0,5490891.71351945
"45045",829770.25,2399435.55505596,9.044495725,4718097,13643258.1115108,0,0,0,0,0,0,NA
"45047",28381.1,82069.2480015987,0.30935399,556928,1610461.26298961,0,0,0,0,0,0,NA
"45063",43871.85,126863.642985612,0.478203165,1294222,3742484.48041567,0,0,0,0,0,0,NA
"45075",0,0,0,690143,1995677.30015987,0,0,0,0,0,0,452483.60871303
"45077",4265074.75,12333259.718725,46.489314775,27419867,79289663.3673062,15458.4,44700.8489208633,0.16849656,0,0,0,1871370.54434452
"45079",11327825.2,32756520.9120703,123.47329468,75547327,218459196.980416,1009347.05,2918715.39038769,11.001882845,0,0,0,19412758.8931655
"45083",84389.45,244027.846023181,0.919845005,3788812,10956057.0823341,0,0,0,0,0,0,NA
"45091",34006.7,98336.7204236611,0.37067303,192456,556522.446043166,0,0,0,0,0,0,NA
"46011",613861.1,1924710.32395833,5.27920546,2916490,9144411.35416667,0,0,0,0,0,0,NA
"46027",512454.4,1606758.06666667,4.40710784,6171987,19351750.90625,0,0,0,0,0,0,186232.211666667
