"FIPS","terminated_loss","terminated_loss_noself","terminated_econ_loss","terminated_job_loss","terminated_econ_loss_noself","terminated_job_loss_noself","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","rho"
"01067",7163.28753403777,7163.28753403777,18156.15987903,0.071713430346486,18156.15987903,0.071713430346486,19648.8104871753,49413.2317201783,0.19478757399833,133805.146972701,335061.38693112,258.607002605092,664.69434380977,0.00263364473899958,0,0,0,0
"01069",37611.0016936767,37611.0016936767,91639.2107972307,0.358558967469383,91639.2107972307,0.358558967469383,126446.986590249,316758.070761753,1.23321820819262,894120.827721089,2226305.75661569,1822.41063026883,4530.42925201339,0.0177782199387114,0,0,0,0
"01071",12769.9117051592,12769.9117051592,30936.0954995602,0.120582101783317,30936.0954995602,0.120582101783317,56440.9268203469,138599.746036528,0.53972004108901,376378.017271705,922931.15955434,661.417614504918,1627.58599053636,0.00632334750524091,0,0,0,0
"01073",10408786.9923825,10408319.8625041,25085356.2466443,97.9167172656163,25084208.5601085,97.9120455545903,29513954.5908722,71223216.9191878,277.919981353844,218995898.508184,528252887.354954,482029.210811345,1162244.55482268,4.53656218128141,0,0,0,0
"01075",5805.81407986436,5805.81407986436,14023.3433247329,0.0546799806669188,14023.3433247329,0.0546799806669188,25237.3022387817,62119.1787983474,0.239741369192598,176871.246002251,433777.773789061,270.414024671693,661.039942231457,0.00256021776228657,0,0,0,0
"01077",35065.8831052346,35065.8831052346,84739.4599217033,0.330736998818781,84739.4599217033,0.330736998818781,127134.108272031,311064.998122746,1.21233775454455,881810.062814026,2154546.93052443,1670.46756316293,4073.93720517889,0.0158871702608722,0,0,0,0
"01079",14380.3924049822,14380.3924049822,34814.5518788664,0.135824803872311,34814.5518788664,0.135824803872311,60785.9400851006,150403.932339574,0.585566201014961,406735.984002751,1000454.01953748,712.946074487535,1747.44694506277,0.00681065909198749,0,0,0,0
"01081",176456.258965214,175755.833001445,429165.221713731,1.67238776111614,427444.560006734,1.66538350147845,1500021.38590569,3634522.79431241,14.1153016404711,8533481.45024309,20679219.4678043,2361.49098033913,5961.07000043241,0.0225027774852894,0,0,0,0
"01083",40880.5460565432,40880.5460565432,99222.1188050801,0.387534258865473,99222.1188050801,0.387534258865473,247673.573381514,608427.331090566,2.37579420212072,1484804.94440679,3648780.97675732,2099.46729212568,5197.85325994889,0.0203529702777112,0,0,0,0
"01085",1641.27132734249,1641.27132734249,3952.77520040227,0.0154279504770194,3952.77520040227,0.0154279504770194,12023.6837431918,29021.7040311134,0.113185853190915,71527.294289372,172774.949870837,69.6529819567513,167.749582367048,0.000654738030393462,0,0,0,0
"01087",23276.705075278,23276.705075278,56217.2964588413,0.21988542037215,56217.2964588413,0.21988542037215,621195.706820372,1497593.58462978,5.84710840100666,3340615.4146801,8058593.37664143,304.964536534991,744.187062410873,0.00293061199400503,0,0,0,0
"01089",181225.602119677,181225.525304315,441256.982887157,1.71647410001614,441256.734859563,1.71647315518719,1237771.42023249,3031546.37036422,11.830231292642,7388035.4794142,18094996.6871983,8992.60488286309,22238.7011374129,0.0868556633255666,0,0,0,0
