"GEOID","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","terminated_econ_loss"
"2003",17176410.05,43971609.728,189.583748764044,100502610,257286681.6,0,0,0,0,0,0,957496.32
"2004",22232,56913.92,0.245384564658913,2303495,5896947.2,0,0,0,0,0,0,NA
"2102",89662.5,229536,0.989645264876295,1308291,3349224.96,0,0,0,0,0,0,701872.64
"2103",14515383.6,37159382.016,160.212805215146,76284877,195289285.12,0,0,0,0,0,0,7647097.2672
"2104",469718.7,1202479.872,5.18449616371224,2614287,6692574.72,0,0,0,0,0,0,NA
"2105",83447.6,213625.856,0.921048623508057,428397,1096696.32,0,0,0,0,0,0,NA
"2106",28740533.55,73575765.888,317.222171340034,158067992,404654059.52,0,0,0,0,0,0,8040743.2448
"2201",16672910.25,42682650.24,184.026395434211,102012452,261151877.12,0,0,0,0,0,0,10586643.0464
"2202",4495342.4,11508076.544,49.6171121723981,35951697,92036344.32,0,0,0,0,0,0,2836305.9712
"2203",145875.9,373442.304,1.61009779667718,1344783,3442644.48,0,0,0,0,0,0,NA
"2204",15739.05,40291.968,0.173718960615098,556959,1425815.04,0,0,0,0,0,0,NA
"2205",2997677.15,7674053.504,33.0867084581109,23801265,60931238.4,0,0,0,0,0,0,991792.252905495
"2206",6657617.3,17043500.288,73.483110958355,44111151,112924546.56,0,0,0,0,0,0,190682.8288
"2301",4647918.7,11898671.872,51.3011652919,27408750,70166400,0,0,0,0,0,0,12837338.6752
"2302",22338939.55,57187685.248,246.564904480862,98666060,252585113.6,0,0,0,0,0,0,2524110.0544
"2401",99117,253739.52,1.09399882580503,2307737,5907806.72,0,0,0,0,0,0,NA
"2402",238105.75,609550.72,2.62808005606936,9084422,23256120.32,0,0,0,0,0,0,NA
"2403",1398073.7,3579068.672,15.4311670670914,11737822,30048824.32,0,0,0,0,0,0,NA
"2404",10492615.45,26861095.552,115.811707193758,65591355,167913868.8,0,0,0,0,0,0,12170590.4128
"2405",0,0,0,1550395,3969011.2,0,0,0,0,0,0,NA
"2406",355284.05,909527.168,3.92142955827211,5154709,13196055.04,0,0,0,0,0,0,NA
