"FIPS","IDC_econ_loss_natl","term_econ_loss_natl"
"26123",440331.591105275,24019.6138657746
"26125",42231786.3809162,11654870.3855602
"26127",229711.019248786,214538.489138669
"26129",131253.17745014,16211.8277068452
"26131",61477.8614802536,5687.70919993648
"26133",107982.010542605,211253.664408599
"26135",38496.9460594241,2722.55258955551
"26137",95819.0398743159,12035.9986240657
"26139",3866920.50667372,315293.840315903
"26141",28256.0331407941,3475.68717978563
"26143",84208.2355852964,13328.0481547319
"26145",1043763.14705841,113972.914443618
"26147",1143690.26484949,311249.699643594
"26149",333905.546101201,25761.053793966
"26151",204112.276285335,18586.3769776457
"26153",33167.5874196888,3608.66927574725
"26155",2235932.84110426,231520.766192098
"26157",278552.866076691,29064.5599520878
"26159",623317.839826161,842333.023983018
"26161",184290777.613587,25106438.4510614
"26163",74599944.8332025,9040145.25644738
"26165",132287.909983046,215888.094989794
"27001",55815.2614381326,1725.56799879277
"27003",13182040.1770894,1777112.84430339
"27005",160399.585906943,3251.96250405845
"27007",135585.690660482,3629.78130980248
"27009",218040.003221619,10547.8597721408
"27011",16007.0030142877,464.493619574815
"27013",1428949.91837178,44870.9470323862
"27015",108110.327530419,4892.06315881964
"27017",210221.804292337,206227.550177332
"27019",2148595.52295568,483824.294973817
"27021",52007.7264577072,1398.1922589231
"27023",61056.469209551,1935.04021135715
"27025",1111548.93620372,40290.1438942682
"27027",814563.952690795,7312.18741699015
"27029",20522.6625567374,324.941562233431
"27031",16248.9685525259,440.49013011329
"27033",136328.442272557,3847.11500884517
"27035",260615.92852824,10907.9814868106
"27037",14114116.8541988,2022937.19949541
"27039",7593825.40875589,219003.651714093
"27041",110682.279798472,4949.25919448371
"27043",123654.73045152,9930.40975857733
"27045",4842317.67358456,138340.114338853
"27047",1607914.46062013,47035.4277402229
"27049",5079967.17249063,152182.114829669
"27051",32729.8072484375,878.308576234955
"27053",87398245.896477,9903221.81896264
"27055",414645.011881375,13686.1309691277
"27057",67363.6314983071,1795.40893580496
"27059",458396.859535253,16449.0373823138
"27061",93208.7515602377,2463.4607615753
"27063",108749.18705291,2867.33363953773
"27065",90028.5484410714,2625.3082941169
"27067",163215.133255734,6256.76373988387
"27069",30338.1764301427,761.847840682788
"27071",27734.0182913926,820.584249104665
"27073",12820.8165315946,253.578615257308
"27075",49807.3926266477,866.931625327677
"27077",14247.4763777736,462.834016874777
"27079",604063.094396589,17874.4658096612
"27081",36631.6028586641,565.993552555771
"27083",121293.940619837,3729.50631827761
"27085",225186.666044026,7511.01176052804
"27087",16107.6534449937,416.486640651765
"27089",55538.1114903461,1863.7200868001
"27091",153287.111302222,4250.20053600648
"27093",138471.996140253,4260.72617092752
"27095",121256.667987695,3460.0142163458
"27097",50662.7220106217,2175.19884408445
"27099",4550978.07254679,130943.514677352
"27101",72149.9737318699,1956.89105462325
"27103",691460.957354441,21412.4347595125
"27105",197596.369408359,5434.07393133926
"27107",20856.0172479876,435.220953711543
"27109",103791955.311798,2997337.7225035
"27111",272384.874413813,218613.032605006
"27113",48649.7686307574,1251.64690459623
"27115",186907.341310135,6521.66027286879
"27117",95815.3836165302,1970.2921681137
"27119",513002.115812392,16520.60051476
"27121",60588.3206557965,1903.0061162969
"27123",40039405.5528388,1853779.80816134
"27125",15160.0510937182,370.779009784094
"27127",119180.721307684,4319.08256877458
"27129",88811.1875090646,2931.37745583833
"27131",1366044.04726741,49677.228456312
"27133",183927.562382151,4284.64150534097
"27135",56905.2325120474,1733.86325065535
"27137",1544126.87315363,36858.7098546462
"27139",3151285.50812825,1142728.21374963
"27141",1327450.96153387,49458.8616754514
"27143",61229.0435581534,2001.06253977383
"27145",776466.084622529,232679.568125969
"27147",1555455.04968626,45986.4547509278
"27149",40288.0390396446,833.155938996482
"27151",36766.994009065,912.266920259102
"27153",65917.9937693201,2890.75332384665
