"org_name","lat","lon","terminated_loss","terminated_num","terminated_loss_noself","terminated_num_noself"
"Indiana University Indianapolis",39.779213,-86.175288,4515513.77,10,4515513.77,9
"Thomas Jefferson University",39.948207,-75.157825,856620.23,2,856620.23,2
"Hospital for Special Surgery",40.765324,-73.953947,676204,1,676204,1
"Cold Spring Harbor Laboratory",40.86755,-73.473456,274670.22,1,274670.22,1
"Kent State University",41.152425,-81.337881,419715,1,419715,1
"University of Nebraska Medical Center",41.265996,-96.010026,1895362.55,5,1895362.55,5
"University of Notre Dame",41.693901,-86.239284,673373.18,3,673373.18,3
"University of Connecticut School of Medicine",41.734182,-72.793791,348584.91,2,348584.91,2
"Northwestern University",42.050479,-87.680046,623201963.125055,530,623073665.145055,528
"Worcester Polytechnic Institute",42.274036,-71.806691,115450.45,2,115450.45,1
"Harvard Medical School",42.335672,-71.104237,454828894.21,336,454819486.21,332
"Wayne State University",42.357466,-83.065294,822587.71,6,822587.71,5
"Rensselaer Polytechnic Institute",42.732865,-73.683493,993814,1,993814,1
"Syracuse University",43.041575,-76.133784,13429.98,1,13429.98,1
"Rochester Institute of Technology",43.092171,-77.674767,76536.09,1,76536.09,1
"Central Michigan University",43.601402,-84.787107,308460,1,308460,1
"Dartmouth College",43.711386,-72.270611,500396.83,3,500396.83,3
"Jackson Laboratory",44.365361,-68.196303,330268.22,1,330268.22,1
"Clarkson University",44.65482,-74.95554,40987.56,1,40987.56,1
"Allen Institute",47.650084,-122.351604,61010.3884788868,3,61010.3884788868,3
"University of North Dakota",47.919868,-97.072819,171420.25,2,171420.25,2
"University of Alaska Fairbanks",64.857437,-147.800301,296755.61,1,296755.61,1
"University of Colorado - Colorado Springs",38.891282,-104.800059,1064278,1,1064278,1
"University of Kansas Medical Center",39.026584,-94.636347,374022,1,374022,1
"Moffitt Cancer Center",28.062583,-82.419596,2025640.53,3,2025640.53,3
"Rice University",29.717236,-95.402761,254645.24,2,254645.24,1
"LSU Pennington Biomedical Research Center",30.403353,-91.122687,58260.42,1,58260.42,1
"Texas Tech University Health Sciences Center El Paso",31.769999,-106.431625,347963.12,1,347963.12,1
"Alabama State University",32.365014,-86.295702,317830.99,1,317830.99,1
"University of North Texas",33.21077,-97.147769,270342.65,1,270342.65,1
"Augusta University",33.470962,-81.991405,3653277.19,3,3653277.19,3
"North Carolina State University Raleigh",35.784675,-78.677233,484783,2,484783,1
"University of Arkansas at Fayetteville",36.069922,-94.176965,285808.13,1,285808.13,1
"East Tennessee State University",36.330892,-82.365584,547950.93,1,547950.93,1
"Gladstone Institutes",37.767618,-122.394315,42175.2,1,42175.2,1
"Smith-Kettlewell Eye Research Institute",37.791185,-122.43391,38692,1,38692,1
"University of the District of Columbia",38.944441,-77.064327,465475.98,1,465475.98,1
"Monell Chemical Senses Center",39.955743,-75.193059,262604,2,262604,1
"Carnegie-Mellon University",40.442959,-79.941084,291119,1,291119,1
"Father Flanagan's Boys' Home",41.253446,-96.133857,180630.02,2,180630.02,2
"Creighton University",41.264296,-95.948089,130366.31,2,130366.31,2
"University of Toledo Health Science Campus",41.619554,-83.620727,359617.49,1,359617.49,1
"Hebrew Rehabilitation Center for Aged",42.296681,-71.130734,4886952.92,1,4886952.92,1
"University of South Dakota",42.78263,-96.925433,59396.3199999999,1,59396.3199999999,1
"St. Catherine University",44.924882,-93.183134,593696.12,1,593696.12,1
"Hennepin Healthcare Research Institute",44.972097,-93.262404,259243.69,1,259243.69,1
"Ponce School of Medicine",18.01462,-66.614749,204661.92,2,204661.92,2
"University of Puerto Rico at Humacao",18.154496,-65.820757,277254.49,1,277254.49,1
"University of the Virgin Islands",18.3419,-64.9307,16246.74,1,16246.74,1
"University of Puerto Rico Rio Piedras",18.409826,-66.062956,45971.69,2,45971.69,1
"University of Puerto Rico Medical Sciences",18.410481,-66.065613,5780844.52,4,5780844.52,3
"University of Puerto Rico Comprehensive Cancer Center",18.388812,-66.073302,812162.36,1,812162.36,1
"Grupo Nexos Inc.",18.420562,-66.053869,108503.86,1,108503.86,1
"Health Choice Network, Inc.",25.784838,-80.341865,8746.1399999999,1,8746.1399999999,1
"Asian American Health Coalition",29.715091,-95.553787,980142.35,1,980142.35,1
"University of Alabama",33.215665,-87.53919,224691.14,1,224691.14,1
"Delta Health Alliance, Inc.",33.40757,-90.911217,104662.42,1,104662.42,1
"Loma Linda University",34.051744,-117.261784,228432.12,1,228432.12,1
"Arkansas Cancer Coalition",34.759836,-92.340415,551280.17,1,551280.17,1
"North Carolina Department of Health and Human Services",35.670641,-78.663729,497053.92,1,497053.92,1
"Tech Museum of Innovation",37.331476,-121.890183,56689.18,1,56689.18,1
"Southern Illinois University at Edwardsville",38.811295,-89.956641,160812.29,1,160812.29,1
"The Academy of Natural Sciences of Drexel University",39.957946,-75.171447,107558.72,1,107558.72,1
"New York Hall of Science",40.752572,-73.854759,198395.93,1,198395.93,1
"Bronxworks, Inc.",40.851,-73.9081,270687.06,1,270687.06,1
"Feonix - Mobility Rising",40.859135,-96.725607,156758.4,1,156758.4,1
"Gordon Research Conferences",41.480003,-71.569648,3100,2,3100,1
"Face Addiction Now",42.553717,-82.928158,24143.5,1,24143.5,1
"Access Health Inc.",43.230962,-86.243109,81701.71,1,81701.71,1
"University of Texas Dallas",32.991725,-96.743697,62010.03,1,62010.03,1
"East Carolina University",35.608358,-77.364797,79196.76,1,79196.76,1
"American University",38.936949,-77.089471,574571.5,1,574571.5,1
"Claremont Graduate University",34.103277,-117.714467,155927.13,1,155927.13,1
"Beckman Research Institute",34.127716,-117.972442,1513.82967032967,1,1513.82967032967,1
"University of Kansas Lawrence",38.951542,-95.265562,312225.69,1,312225.69,1
"Cincinnati Children's Hospital Medical Center",39.140663,-84.501007,592671,2,592671,2
"Rockefeller University",40.763746,-73.955386,36228.92,1,36228.92,1
"New York Medical College",41.085531,-73.810253,63574.91,1,63574.91,1
"Winifred Masterson Burke Medical Research Institute",41.016579,-73.752206,880091.79,1,880091.79,1
"Hebrew Home for the Aged at Riverdale",40.91022,-73.908751,209029.82,1,209029.82,1
"Loyola University Chicago",41.865155,-87.833381,53486.1538461538,1,0,0
"Ochin, Inc.",45.509263,-122.677657,524859.14,1,524859.14,1
"Mass General Brigham",42.336107,-71.107481,4177001.42406593,9,4177001.42406593,9
"Mass General Brigham",42.374956,-71.05421,1052474,1,1052474,1
"Mass General Brigham",42.378564,-71.049223,1226.92999999999,1,1226.92999999999,1
"Mass General Brigham",42.393619,-71.191142,1846163,3,1846163,3
"Vanderbilt University Medical Center",36.143784,-86.800995,3438063.1,5,3438063.1,4
"National Medical Association",38.994873,-77.030247,139554.62,1,139554.62,1
"Dana-Farber Cancer Institute",42.337593,-71.108279,78024.86,1,78024.86,1
"University of Miami",25.713468,-80.277246,4941907.76098901,18,4941907.76098901,17
"Texas A&M University ",30.561542,-96.253207,646122,1,646122,1
" St. Jude Children's Research Hospital",35.154349,-90.043623,22266,1,22266,1
"Columbia University",40.8101,-73.9606,1954267,4,1954267,4
"Columbia University",40.81207,-73.954377,81838304.89,73,78621596.54,69
"Columbia University",40.8415,-73.9414,915901062.158571,653,893472510.808571,643
"Boston University",42.33639,-71.07097,2745621.32,7,2745621.32,6
"Tufts University",42.349512,-71.063308,808304.7,1,808304.7,1
"Boston University",42.349594,-71.099726,1514952.59,3,1514952.59,3
"Tufts University",42.3498,-71.06149,6067631.98,5,6067631.98,5
"Tufts University",42.40117,-71.125362,14055.94,3,14055.94,1
