"GEOID","IDC_econ_loss","static_IDC_loss","terminated_econ_loss","static_term_loss","pol_party","state"
"1705",78944166.8758737,10457175.6151023,579039689.205376,0,"Democrat","Illinois"
"1706",34650335.2159699,362430.312381711,95901293.4344576,0,"Democrat","Illinois"
"1707",78185154.5177753,153415957.803176,271786661.255787,7228058.17898413,"Democrat","Illinois"
"1708",14568474.5454287,166357.399811809,80446292.1927428,0,"Democrat","Illinois"
"1709",132198752.234218,271229585.256772,1286624283.69374,3252589242.8308,"Democrat","Illinois"
"1710",30047372.4698025,6285183.45443425,219398660.708534,0,"Democrat","Illinois"
"1711",14532967.3472623,393566.88586215,68521260.7661622,0,"Democrat","Illinois"
"1712",6003457.02217112,178557.946788991,1768476.80929562,0,"Republican","Illinois"
"1713",34267862.61094,46353115.6307222,12986285.9940272,405796.765184662,"Democrat","Illinois"
"1714",10459321.8965357,350167.26031522,37233104.7870959,0,"Democrat","Illinois"
"1715",17661681.2158789,433863.547965185,3983952.59818449,0,"Republican","Illinois"
"1717",4223469.99809701,865744.599600094,17176487.4078499,0,"Democrat","Illinois"
"1801",15787635.1598471,164739.182344286,18837441.1203549,0,"Democrat","Indiana"
"1802",14548705.8158054,13170488.6324669,4172813.67184559,414899.717194703,"Republican","Indiana"
"1804",46278188.8730381,34786058.3525257,5403760.367087,2131744.42805297,"Republican","Indiana"
"1805",20394170.2762954,584714.236390387,1344404.61677088,0,"Republican","Indiana"
"1806",27264783.0606483,441919.517802845,3589396.48793662,0,"Republican","Indiana"
"1807",53285111.4977017,126961701.320255,6720082.70793832,8753151.43446788,"Democrat","Indiana"
"1808",8429509.59704276,0,1201708.56385057,0,"Republican","Indiana"
"1809",29196806.5671837,26274569.1005395,1864553.01374596,0,"Republican","Indiana"
"1901",71547784.5477844,85715440.6604737,3924507.93166272,4731160.59245646,"Republican","Iowa"
"1903",4309869.07435491,262921.129055912,827565.910671838,0,"Republican","Iowa"
"1904",8206858.33486689,8018105.45834097,861776.215463925,0,"Republican","Iowa"
"2001",12270004.8854552,16539390.7449183,1624690.55225055,711913.0045629,"Republican","Kansas"
"2003",32710075.5710143,48101571.8673063,1101911.82494623,1048962.90831557,"Democrat","Kansas"
"2004",2329946.20651356,62350.7263681592,78123.6864892283,0,"Republican","Kansas"
"2102",7117401.97026649,232608.828559213,2481023.60602006,711268.701154339,"Republican","Kentucky"
"2103",31335670.857098,37436886.7333903,5935927.69946253,7609380.77778538,"Democrat","Kentucky"
"2104",23644810.0296339,1218577.62787516,1580081.59769844,0,"Republican","Kentucky"
"2105",4491825.25877368,216485.693373236,509201.1969622,0,"Republican","Kentucky"
"2106",55557115.9396712,73991832.6904804,7035545.63807968,8786736.47628901,"Republican","Kentucky"
"2201",26214251.2636941,45813022.6746332,6570217.72451717,13521416.9118883,"Republican","Louisiana"
"2202",29586011.8959179,12352086.1213441,7480362.55558834,1651624.05467108,"Democrat","Louisiana"
"2203",2189774.79416877,400830.797633696,346201.313820926,0,"Republican","Louisiana"
"2204",5735682.77016896,42361.896223639,151993.513837991,0,"Republican","Louisiana"
"2205",9705761.18505821,8236873.41831519,1412686.9660192,2022198.03598675,"Republican","Louisiana"
"2206",11392052.8351897,18293481.3269285,1152294.58108913,53624.3588831046,"Democrat","Louisiana"
"2301",13804902.0188952,10666377.5294872,908406.549194846,0,"Democrat","Maine"
"2302",51025775.8376966,51265002.300641,999874.743200219,712609.372820513,"Democrat","Maine"
"2401",38570858.623289,216157.463920069,4785873.96394556,0,"Republican","Maryland"
"2402",126061698.375714,519268.491427162,10368685.9157509,0,"Democrat","Maryland"
"2403",55591122.8235952,3048962.99691625,5285836.34810167,0,"Democrat","Maryland"
"2404",16846795.6697112,22882625.0346614,703447.40948576,0,"Democrat","Maryland"
"2405",13709278.0020834,0,888574.814054397,0,"Democrat","Maryland"
"2406",14812091.2366203,774814.605156038,734970.025616022,0,"Democrat","Maryland"
"2407",167709652.467929,424673824.625632,10636928.3815727,25084452.2164056,"Democrat","Maryland"
"2408",22461095.1521341,16284985.729134,1190774.92453422,162103.072011842,"Democrat","Maryland"
"2501",31353261.2662171,2074319.30239679,8418500.85805719,0,"Democrat","Massachusetts"
"2502",81886621.2332007,114184787.126593,16531545.4138598,2211205.46261449,"Democrat","Massachusetts"
"2503",67164815.5202474,6225151.39434964,13639726.6303157,0,"Democrat","Massachusetts"
"2504",160612774.194426,16792427.912853,92278536.3372736,5742369.77471955,"Democrat","Massachusetts"
"2505",241690879.077392,81336993.3735274,51034984.4959263,24351288.2270764,"Democrat","Massachusetts"
"2506",104201759.570616,1617820.59505753,19604808.5791647,0,"Democrat","Massachusetts"
"2507",347325318.234801,848829856.048022,77233272.2924829,177634953.903917,"Democrat","Massachusetts"
"2508",224830763.828443,288225373.79674,51981705.7822681,16470652.6331326,"Democrat","Massachusetts"
"2509",54671302.7472616,3239281.01135509,22517123.4811245,0,"Democrat","Massachusetts"
"2601",4326566.91199394,2005193.32311111,2078754.03991079,0,"Republican","Michigan"
"2602",8036015.51171927,645705.101254321,4303433.82238765,781919.442962963,"Republican","Michigan"
"2603",17899860.9184838,22034000.9178667,6283812.61465438,0,"Democrat","Michigan"
"2604",8402085.93449035,1701745.40919506,4682427.88060778,0,"Republican","Michigan"
"2605",24915654.4113102,64712.0343506173,4722737.88520054,0,"Republican","Michigan"
"2606",213383620.345306,337507194.807794,29160570.6124039,42871789.5776059,"Democrat","Michigan"
"2607",66000375.5485307,49837784.5832876,7854068.91613765,1960409.7907121,"Republican","Michigan"
"2608",12995763.3990773,311794.37037037,1438340.46424988,0,"Democrat","Michigan"
"2610",12411881.2847921,1946880.17111111,2429873.3623652,0,"Republican","Michigan"
"2611",25358355.05803,1699885.92333827,8505202.6383898,0,"Democrat","Michigan"
"2612",26334237.9931894,672711.563555556,3620016.58344859,0,"Democrat","Michigan"
"2613",23873555.3136561,37634190.0236741,3018433.29949719,2613969.11890173,"Democrat","Michigan"
"2701",137456543.921279,141951663.593909,3994289.13209558,4081691.87547959,"Republican","Minnesota"
"2703",25975569.1822161,7793055.05845917,1694399.56538471,0,"Democrat","Minnesota"
"2704",44898779.0060154,2315294.30295721,3632754.98879834,1366038.60473574,"Democrat","Minnesota"
"2705",64075903.3709709,170371754.310864,8771522.66039776,6023183.0821071,"Democrat","Minnesota"
"2706",13278011.3287539,47286.4883738814,2302701.25901174,0,"Republican","Minnesota"
"2708",5812096.98547047,843824.503446588,1078370.34685006,0,"Republican","Minnesota"
"2801",11914561.8357214,3349919.15846154,877757.487933446,906160.705538461,"Republican","Mississippi"
"2802",10586688.2697441,2184418.71384615,936010.860104979,73056.6963076923,"Democrat","Mississippi"
"2803",12259427.5478094,20467241.8461538,1578391.1168769,1114249.46415385,"Republican","Mississippi"
"2804",2405945.87136136,1001837.02769231,268781.837490185,0,"Republican","Mississippi"
"2901",190803268.88128,293932717.757341,30522915.2787837,41714087.1946229,"Democrat","Missouri"
"2902",42649302.8288921,546582.174489796,10313532.8616296,0,"Republican","Missouri"
"2903",38130305.8225251,33480931.1539707,9946413.96842294,13037773.3338421,"Republican","Missouri"
"2905",17673832.3748695,11587521.5058341,635901.482628279,0,"Democrat","Missouri"
"2907",5725922.57614024,194610.692102928,879425.717378518,0,"Republican","Missouri"
"2908",13694556.9258856,213392.511024845,2046217.34716507,0,"Republican","Missouri"
"3001",9210220.74464875,9851147.13673469,181358.088864199,37045.218122449,"Republican","Montana"
"3002",3916166.26744843,2926065.02234694,130961.523466051,0,"Republican","Montana"
"3101",18398038.7072682,10979402.7294974,2558502.93350266,2351412.84480699,"Republican","Nebraska"
"3102",42816183.4002558,56835462.1901361,2895714.92532986,3667894.54887108,"Republican","Nebraska"
"3103",4316913.60900797,128691.338674436,408180.803028372,0,"Republican","Nebraska"
"3201",4169238.46895769,8400926.47217125,36517.4941889914,0,"Democrat","Nevada"
"3202",18509879.2782893,19084295.7678899,9750.92566687232,0,"Republican","Nevada"
"3204",2240985.5499933,339489.24587156,11696.5233423734,0,"Democrat","Nevada"
"3301",18658841.7812339,3614427.5057197,3147475.63802834,0,"Democrat","New Hampshire"
"3302",50318054.852659,62097553.8697389,5532917.51737896,1017624.02226515,"Democrat","New Hampshire"
"3401",53500637.965259,13063455.2432451,9410957.86898743,0,"Democrat","New Jersey"
"3403",41959710.8630041,53594.486200938,9883105.31319179,0,"Democrat","New Jersey"
"3405",42371242.7842088,13396296.3346087,124778334.164086,0,"Democrat","New Jersey"
"3406",51912295.3264247,146903957.085954,11658826.7388589,0,"Democrat","New Jersey"
"3407",18475672.579313,606264.660577635,9087504.29234607,0,"Republican","New Jersey"
"3408",28074855.6667016,1329928.94213774,29825724.7917535,0,"Democrat","New Jersey"
"3410",20035583.0597818,12161023.8840286,12488445.2005888,0,"Democrat","New Jersey"
"3411",14938389.4698146,846516.034664115,22175298.8930933,0,"Democrat","New Jersey"
"3412",85689322.4677058,45992003.3137744,7540629.33220567,980921.740024685,"Democrat","New Jersey"
"3501",32635569.0992933,44203145.9127139,29327.2689650841,0,"Democrat","New Mexico"
"3502",11970802.5553902,2029173.44193154,409910.909554717,0,"Democrat","New Mexico"
