"ORIGIN","DESTINATION","IDC_econ_loss"
"40039","48201",10070.2527265548
"40041","48201",5035.12636327737
"40047","48201",45.9491458024287
"40061","48201",5035.12636327737
"40079","48201",91.8982916048576
"40109","48201",20370.2511821217
"40131","48201",45.9491458024287
"40137","48201",45.9491458024287
"40139","48201",5035.12636327737
"40143","13089",113.585474030692
"40143","48201",275.694874814572
"41003","13089",9447.21527181266
"41007","13089",18894.4305436254
"41009","13089",9447.21527181266
"41039","13089",28341.645815438
"41051","42003",12.8270327276424
"41067","13089",132261.013805377
"42001","42003",245051.916306444
"42003","13089",68.3969716795338
"42003","42003",221248146.596402
"42005","42003",1754465.19882719
"42007","42003",3907416.66026816
"42009","42003",5031.9833949141
"42011","13089",227.170948061384
"42011","42003",971028.481987041
"42013","42003",987489.860287929
"42015","42003",500.522611154332
"42017","42003",5522.86220828291
"42019","42003",6231556.56250783
"42021","42003",1463317.96402684
"42023","42003",0.0940287821417971
"42025","42003",427.534464820571
"42027","42003",493301.071169949
"42029","42003",2079.46944260528
"42031","42003",730109.313530898
"42033","42003",1575295.42919228
"42035","42003",243193.87081549
"42037","42003",480.887408977482
"42039","42003",610964.074330306
"42041","42003",1095102.91276441
"42043","42003",608727.42169211
"42045","42003",606291.904506248
"42047","42003",1700.97246175455
"42049","42003",3528718.63294771
"42051","42003",2091876.52235432
"42053","42003",242014.293467446
"42055","42003",485850.564994829
"42057","42003",1355.45615470665
"42059","42003",380456.345469195
"42061","42003",247881.006871045
"42063","42003",888079.331004657
"42065","42003",728031.988801078
"42067","42003",122024.940722504
"42069","42003",2071.64308595627
"42071","42003",1217240.82604299
"42073","42003",2339423.66683741
"42075","42003",243549.161364511
"42077","42003",2200.30398164579
"42079","42003",1996.85778236895
"42081","42003",1013.98563694837
"42083","42003",245146.287636216
"42085","42003",1589437.02273825
"42087","42003",2216.09181834893
"42089","42003",2314.582521428
"42091","42003",1133779.22369784
"42093","42003",1621.46021223976
"42095","42003",1195.61612198117
"42097","42003",3032.2654684415
"42099","42003",122074.626272505
"42101","42003",2195649.65334657
"42103","42003",597.76067123759
"42105","42003",121193.19204131
"42107","42003",246917.67845545
"42109","13089",9447.21527181266
"42109","42003",242736.892252734
"42111","42003",976492.710833654
"42113","42003",56.2422610152872
"42115","42003",260.766029641206
"42117","42003",396.870911386702
"42119","42003",2069.74548344023
"42121","42003",1456910.82769419
"42123","42003",245393.1138391
"42125","42003",10025833.0145249
"42127","42003",305.01972235564
"42129","42003",21773046.3080244
"42131","42003",148.18747882849
"42133","42003",1578741.76803882
"45001","13089",136.793943359067
"45003","13089",38257.4740972543
"45007","13089",47470.3828640652
"45009","13089",18894.4305436254
"45013","13089",28568.8167634994
"45017","13089",9560.80074584335
"45021","13089",9447.21527181266
"45025","42003",0.0940287821417971
"45027","42003",25.6540654552847
"45031","13089",9447.21527181266
"45033","13089",18894.4305436254
"45035","13089",28341.645815438
"45037","13089",9447.21527181266
"45041","42003",12.8270327276424
"45043","42003",25.6540654552847
"45045","13089",132374.599279408
"45045","42003",1621.46021223976
"45047","13089",18908.7016575063
"45047","42003",0.0940287821417971
"45047","48201",5035.12636327737
"45051","42003",25.6540654552847
"45053","13089",18894.4305436254
"45055","13089",9447.21527181266
"45057","13089",18894.4305436254
"45057","42003",0.0940287821417971
"45059","13089",9447.21527181266
"45063","13089",122927.384007595
"45065","13089",68.3969716795338
"45069","13089",18894.4305436254
"45073","13089",9447.21527181266
"45073","42003",1621.46021223976
"45075","13089",19008.0160176561
"45077","13089",56796.8771049066
"45079","13089",123154.554955657
"45079","42003",203.435923311578
"45083","13089",66137.642459629
"45085","13089",56683.291630876
"45087","13089",9447.21527181266
"45091","13089",18894.4305436254
"47001","13089",28341.645815438
"47011","13089",66130.5069026886
"47019","13089",18894.4305436254
"47025","42003",69.6277770950866
"47029","13089",9447.21527181266
"47035","13089",9447.21527181266
"47037","13089",198391.520708066
"47037","42003",25.6540654552847
"47041","13089",9447.21527181266
"47043","13089",9447.21527181266
"47051","13089",9447.21527181266
"47057","13089",9447.21527181266
"47061","13089",18894.4305436254
"47063","13089",9447.21527181266
"47063","48201",18.518218976037
"47065","13089",113373.718818692
"47093","13089",151382.615297063
"47099","13089",9447.21527181266
"47105","13089",28341.645815438
"47105","48201",18.518218976037
"47107","13089",9447.21527181266
"47119","13089",18894.4305436254
"47121","13089",9447.21527181266
"47139","13089",9447.21527181266
"47145","13089",9447.21527181266
"47149","13089",141708.22907719
"47149","48201",15105.3790898321
"47151","13089",18894.4305436254
"47157","13089",75577.7221745012
"47157","42003",283.310310454633
"47157","48201",83996.4354898787
"47159","42003",69.6277770950866
"47161","13089",9447.21527181266
"47163","13089",37788.8610872506
"47167","13089",9447.21527181266
"47173","13089",9447.21527181266
"47179","13089",47243.2119160038
"47185","13089",9447.21527181266
"47187","13089",37788.8610872506
"47187","48201",40281.010906219
"48001","48201",110.416510580895
"48005","48201",144923.353216741
"48007","48201",25426.9374964448
"48013","48201",72446.6146790199
"48015","48201",434963.209794399
"48019","48201",15197.277381437
"48021","48201",260508.183911465
"48025","13089",113.585474030692
